id,class_id,chinese,pinyin,toneless,english,length,source
94,8,下级,xiàjí,xiaji,subordinate,2,Class
95,8,上面,shàngmiàn,shangmian,above,2,Class
96,8,下面,xiàmiàn,xiamian,below,2,Class
97,8,木耳,mùěr,mu er,tree ear fungus,2,Class
98,8,木,mù,mu,wood,1,Class
99,8,目光,mùguāng,muguang,vision / look,2,Class
100,8,耳光,ěrguāng,erguang,slap in the face,2,Class
101,8,足,zú,zu,foot,1,Class
102,8,足球,zúqiú,zuqiu,football,2,Class
103,8,成功,chénggōng,chenggong,success,2,Class
104,9,尊敬,Zūnjìng,Zunjing,respect,2,Class
105,9,手足之情,shǒuzú zhī qíng,shouzu zhi qing,brotherhood,4,class
106,9,深,shēn,shen,deep,1,Class
107,9,目的,mùdì,mudi,goal,2,Class
108,9,目前,mùqián,muqian,currently,2,Class
109,9,长大,zhǎng dà,zhang da,to grow up,2,Class
110,9,情同手足,qíngtóngshǒuzú,qingtongshouzu,brotherhood,4,class
111,9,睡眠,shuìmián,shuimian,sleep,2,Class
112,9,健康,jiànkāng,jiankang,healthy,2,Class
113,9,重组,chóngzǔ,chongzu,reorganization,2,Class
114,9,着急,zhāojí,zhaoji,in a hurry,2,Class
115,9,左,zuǒ,zuo,left,1,Class
116,9,左手,zuǒshǒu,zuoshou,left hand,2,Class
117,9,左边,zuǒbiān,zuobian,left,2,Class
118,9,向左拐,xiàng zuǒ guǎi,xiang zuo guai,turn left,3,Class
119,9,右,yòu,you,right,1,Class
120,9,右手,yòushǒu,youshou,right hand,2,Class
121,9,右边,yòubiān,youbian,right,2,Class
122,9,向右拐,xiàng yòu guǎi,xiang you guai,turn right,3,Class
123,9,左思右想,zuǒsī yòu xiǎng,zuosi you xiang,think something over,4,class
124,10,终于,zhōngyú,zhongyu,finally,2,Class
125,10,办法,bànfǎ,banfa,solution,2,Class
126,10,邀请,yāoqǐng,yaoqing,invite,2,Class
127,10,真是,zhēnshi,zhenshi,really,2,Class
128,10,聚会,jùhuì,juhui,party,2,Class
129,10,认真,rènzhēn,renzhen,seriously,2,Class
130,10,前,qián,qian,forward,1,Class
131,10,前面,qiánmiàn,qianmian,front face,2,Class
132,10,前方,qiánfāng,qianfang,front,2,Class
133,10,前天,qián tiān,qian tian,the day before yesterday,2,Class
134,10,后,hòu,hou,backward,1,Class
135,10,后面,hòumiàn,houmian,back face,2,Class
136,10,后方,hòufāng,houfang,back,2,Class
137,10,后天,hòutiān,houtian,the day after tomorrow,2,Class
138,11,日,rì,ri,sun / day,1,Class
139,11,太阳,tàiyáng,taiyang,sun,2,Class
140,11,日出,rì chū,ri chu,sunrise,2,Class
141,11,日落,rìluò,riluo,sunset,2,Class
142,11,日光,rìguāng,riguang,sunlight,2,Class
143,11,每日,měi rì,mei ri,every day,2,Class
144,11,冬日,dōngrì,dongri,winter days,2,Class
145,11,夏日,xià rì,xia ri,summer days,2,Class
146,11,往日,wǎngrì,wangri,past days,2,Class
147,11,月亮,yuèliàng,yueliang,moon,2,Class
148,11,圆月,yuán yuè,yuan yue,full moon,2,Class
149,11,月牙,yuèyá,yueya,crescent moon,2,Class
150,11,月光,yuèguāng,yueguang,moonlight,2,Class
151,11,一个月,yīgè yuè,yige yue,one month,3,Class
152,11,五月,wǔ yuè,wu yue,May,2,Class
153,11,花好月圆,huāhǎoyuèyuán,huahaoyueyuan,"flower in bloom, moon full",4,class
154,11,日积月累,rìjīyuèlěi,rijiyuelei,consistent changes over time,4,class
155,11,赏月,shǎng yuè,shang yue,admiring the moon,2,Class
156,11,当今,dāngjīn,dangjin,today (alternate),2,Class
157,11,科技水平,kējì shuǐpíng,keji shuiping,technology level,4,Class
158,11,发展,fāzhǎn,fazhan,develop,2,Class
159,11,时代,shídài,shidai,time period,2,Class
160,11,团聚,tuánjù,tuanju,reunion,2,Class
161,12,出色,chūsè,chuse,outstanding,2,Class
162,12,积极,jījí,jiji,positive,2,Class
163,12,帅气,shuàiqì,shuaiqi,handsome,2,Class
164,12,负责,fùzé,fuze,responsible,2,Class
165,12,环保,huánbǎo,huanbao,environmental friendly,2,Class
166,12,贡献,gòngxiàn,gongxian,contribute,2,Class
167,12,善良,shànliáng,shanliang,kind,2,Class
168,12,诚信,chéngxìn,chengxin,honesty,2,Class
169,12,不论,bùlùn,bulun,whether,2,Class
170,12,丈夫,zhàngfū,zhangfu,husband,2,Class
171,12,丰富多彩,fēngfù duōcǎi,fengfu duocai,colorful life,4,Class
172,12,总而言之,zǒngéryánzhī,zongeryanzhi,all in all,4,Class
173,12,积累,jīlěi,jilei,accumulate,2,Class
174,13,水,shuǐ,shui,water,1,Class
175,13,开水,kāishuǐ,kaishui,boiling water,2,Class
176,13,冷水,lěngshuǐ,lengshui,cold water,2,Class
177,13,害处,hàichu,haichu,harm,2,Class
178,13,清水,qīngshuǐ,qingshui,clear water,2,Class
179,13,脏水,zàng shuǐ,zang shui,dirty water,2,Class
180,13,水龙头,shuǐlóngtóu,shuilongtou,faucet,3,Class
181,13,浇水,jiāo shuǐ,jiao shui,water plants/flowers,2,Class
182,13,海水,hǎishuǐ,haishui,sea water,2,Class
183,13,水果,shuǐguǒ,shuiguo,fruit,2,Class
184,13,香水,xiāngshuǐ,xiangshui,perfume,2,Class
185,13,落花流水,luòhuāliúshuǐ,luohualiushui,to be badly beaten,4,Class
186,13,或,huò,huo,fire,1,Class
187,13,火光,huǒguāng,huoguang,fire light,2,Class
188,13,火山,huǒshān,huoshan,volcano,2,Class
189,13,火车,huǒchē,huoche,train,2,Class
190,13,火锅,huǒguō,huoguo,hot pot,2,Class
191,13,火山加油,huǒshān jiāyóu,huoshan jiayou,"add fuel to the fire, make worse",4,Class
192,13,火冒三丈,huǒmàosānzhàng,huoomaosanzhang,raging / upset,4,Class
193,14,山,shān,shan,mountain,1,Class
194,14,雪山,xuěshān,xueshan,snowy mountain,2,Class
195,14,山谷,shāngǔ,shangu,valley,2,Class
196,14,山洞,shāndòng,shandong,cave,2,Class
197,14,爬山,páshān,pashan,hiking,2,Class
198,14,山清水秀,shānqīngshuǐxiù,shanqingshuixiu,"a beautiful, serene place",4,Class
199,14,石,shí,shi,stone,1,Class
200,14,石头,shítou,shitou,stone,2,Class
201,14,石油,shíyóu,shiyou,oil,2,Class
202,14,钻石,zuànshí,zuanshi,diamond,2,Class
203,14,水滴石穿,shuǐdīshíchuān,shuidishichuan,persistence / consistency,4,Class
204,15,田,tián,tian,field,1,Class
205,15,田地,tiándì,tiandi,field,2,Class
206,15,种田,zhòngtián,zhongtian,plant in a field,2,Class
207,15,沧海桑田,cānghǎisāngtián,canghaisangtian,everything developing/changing,4,Class
208,15,禾,hé,he,seed,1,Class
209,15,禾苗,hémiáo,hemiao,seedlings,2,Class
210,15,和田,hétián,hetian,field with seedlings,2,Class
211,15,锄禾,chú hé,chu he,weed seedlings,2,Class
212,16,站,zhàn,Zhan,stand / station,1,Class
213,16,站起来,zhàn qǐlái,zhan qilai,stand up,3,Class
214,16,站立,zhànlì,zhanli,standing / tremble,2,Class
215,16,站长,zhàn zhǎng,zhan zhang,officer (head of a station),2,Class
216,16,站不住脚,zhàn bù zhù jiǎo,zhan bu zhu jiao,no legs to stand on (no evidence),4,Class
217,16,占,zhàn,zhan,own,1,Class
218,16,占有,zhànyǒu,zhanyou,possess (to have),2,Class
219,16,占用,zhànyòng,zhanyong,occupy,2,Class
220,16,战线,zhànxiàn,zhanxian,phone is busy,2,Class
221,16,占为己有,zhàn wéi jǐ yǒu,zhan wei ji you,selfishly take something,4,Class
222,16,战,zhàn,zhan,fight / tremble,1,Class
223,16,战斗,zhàndòu,zhandou,have a battle,2,Class
224,16,战争,zhànzhēng,zhanzheng,war,2,Class
225,16,挑战,tiǎozhàn,tiaozhan,to challenge,2,Class
226,16,战友,zhànyǒu,zhanyou,comrade in arms,2,Class
227,16,百战百胜,bǎi zhàn bǎishèng,bai zhan baisheng,victorious in battle,4,Class
228,16,胆战心惊,dǎnzhànxīnjīng,danzhanxinjing,tremble with fear,4,Class
229,17,坐,zuò,zuo,to sit,1,Class
230,17,坐下,zuò xià,zuo xia,to sit down,2,Class
231,17,坐地铁,zuò dìtiě,zuo ditie,take the subway,3,Class
232,17,坐牢,zuòláo,zuolao,to go to/be in prison,2,Class
233,17,坐享其成,zuòxiǎngqíchéng,zuoxiangqicheng,enjoy the fruits of someone else,4,Class
234,17,座,zuò,zuo,seat,1,Class
235,17,座位,zuòwèi,zuowei,seat,2,Class
236,17,星座,xīngzuò,xingzuo,constellation,2,Class
237,17,讲座,jiǎngzuò,jiangzuo,lecture,2,Class
238,17,座位号,zuòwèi hào,zuowei hao,seat number,3,Class
239,17,座无虚席,zuòwúxūxí,zuowuxuxi,all seats are occupied,4,Class
240,18,做,zuò,zuo,to do / make,1,Class
241,18,做事,zuòshì,zuoshi,do things,2,Class
242,18,做人,zuòrén,zuoren,be a person,2,Class
243,18,做客,zuòkè,zuoke,be a guest,2,Class
244,18,做梦,zuòmèng,zuomeng,dream,2,Class
245,18,做家务,zuòjiāwù,zuojiawu,do homework,3,Class
246,18,作,zuò,zuo,do,1,Class
247,18,作家,zuò jiā,zuo jia,writer / author,2,Class
248,18,作品,zuòpǐn,zuopin,artistic works,2,Class
249,18,作业,zuòyè,zuoye,homework,2,Class
250,18,做作业,zuò zuo yè,zuo zuo ye,do homework,3,Class
251,18,当作,dàng zuò,dang zuo,to treat someone as…,2,Class
252,18,好吃懒做,hàochīlǎnzuò,haochilanzuo,lazy person only likes to eat,4,Class
253,18,自作自受,zìzuòzìshòu,zizuozishou,suffer from your own actions,4,Class
254,19,来,lái,lai,come,1,Class
255,19,上来,shànglái,shanglai,come up,2,Class
256,19,就上来,jiù shànglái,jiu shanglai,to save someone who fell,3,Class
257,19,下来,xiàlái,xialai,come down,2,Class
258,19,留下来,liú xiàlái,liu xialai,stay behind,3,Class
259,19,坐下来,zuò xiàlái,zuo xialai,sit down and rest,3,Class
260,19,掉下来,diào xiàlái,diao xialai,fall down,3,Class
261,19,进来,jìnlái,jinlai,come in,2,Class
262,19,回来,huílái,huilai,come back,2,Class
263,19,回答,huídá,huida,answer,2,Class
264,19,收回,shōuhuí,shouhui,take back,2,Class
265,19,古往今来,gǔwǎngjīnlái,guwangjinlai,through the ages,4,Class
266,19,百折不回,bǎi zhé bù huí,bai zhe bu hui,someone who never gives up,4,Class
267,20,去,qù,qu,go,1,Class
268,20,回去,huíqù,huiqu,go back,2,Class
269,20,进去,jìnqù,jinqu,go in,2,Class
270,20,出去,chūqù,chuqu,go out,2,Class
271,20,去年,qùnián,qunian,last year,2,Class
272,20,去世,qùshì,qushi,pass away,2,Class
273,20,不知去向,bùzhī qù xiàng,buzhi qu xiang,nowhere to be found,4,Class
274,20,往,wǎng,wang,towards,1,Class
275,20,前往,qiánwǎng,qianwang,leave for,2,Class
276,20,去往,qù wǎng,qu wang,leave for,2,Class
277,20,向往,xiàngwǎng,xiangwang,yearn for,2,Class
278,20,交往,jiāowǎng,jiaowang,contact someone,2,Class
279,20,往常,wǎngcháng,wangchang,as usual,2,Class
280,20,人来人往,rén lái rén wǎng,ren lai ren wang,crowd of people coming / going,4,Class
281,20,人山人海,rénshānrénhǎi,renshanrenhai,crowd of people coming / going,4,Class
282,21,过,guò,guo,cross / pass / spend / live,1,Class
283,21,过河,guò hé,guo he,cross a river,2,Class
284,21,过马路,guò mǎ lù,guo ma lu,cross the street,3,Class
285,21,过春节,guò chūnjié,guo chunjie,spend spring festival,3,Class
286,21,过日子,guòrìzi,guorizi,spend a life,3,Class
287,21,过时,guòshí,guoshi,out of style,2,Class
288,21,过去,guòqù,guoqu,in the past,2,Class
289,21,雨过天晴,yǔguò tiān qíng,yuguo tian qing,sun shining after rain,4,Class
290,21,经,jīng,jing,(many meanings),1,Class
291,21,经理,jīnglǐ,jingli,experience / live through,2,Class
292,21,经营,jīngyíng,jingying,manage / run,2,Class
293,21,经常,jīngcháng,jingchang,often,2,Class
294,21,漫不经心,mànbùjīngxīn,manbujingxin,not careful / too unserious,4,Class
295,22,穿,chuān,chuan,wear,1,Class
296,22,穿过,chuānguò,chuanguo,pass through,2,Class
297,22,看穿,kànchuān,kanchuan,see through someone,2,Class
298,22,穿着,chuānzhe,chuanzhe,wearing something,2,Class
299,22,穿上,chuān shàng,chuan shang,actively put on something,2,Class
300,22,通,tōng,tong,pass,1,Class
301,22,通过,tōngguò,tongguo,pass (a test/exam) / by means of,2,Class
302,22,交通,jiāotōng,jiaotong,traffic / transportation,2,Class
303,22,普通,pǔtōng,putong,common,2,Class
304,22,通情达理,tōngqíngdálǐ,tongqingdali,understanding / responsible,4,Class
305,23,知,zhī,zhi,to know,1,Class
306,23,通知,tōngzhī,tongzhi,inform / notice,2,Class
307,23,知足,zhīzú,zhizu,be content with,2,Class
308,23,相知,xiāngzhī,xiangzhi,know each other,2,Class
309,23,知己,zhījǐ,zhiji,person who knows you well,2,Class
310,23,知识,zhīshì,zhishi,knowledge,2,Class
311,23,不知所措,bùzhī suǒ cuò,buzhi suo cuo,at a loss,4,Class
312,23,道,dào,dao,to know,1,Class
313,23,知道,zhīdào,zhidao,to know,2,Class
314,23,道路,dàolù,daolu,road,2,Class
315,23,道理,dàolǐ,daoli,principle / truth,2,Class
316,23,报道,bàodào,baodao,report (N. or V.),2,Class
317,23,到来,dàolái,daolai,arrival,2,Class
318,23,志同道合,zhìtóngdàohé,zhitongdaohe,person with same goals as you,4,Class
319,24,到,dào,dao,arrive,1,Class
320,24,迟到,chídào,chidao,be late,2,Class
321,24,见到,jiàn dào,jian dao,meet,2,Class
323,24,到处,dàochù,daochu,everywhere / here and there,2,Class
324,24,直到,zhídào,zhidao,until,2,Class
325,24,马到成功,mǎdàochénggōng,madaochenggong,success upon arrival,4,Class
326,24,达,dá,da,arrive,1,Class
327,24,到达,dào dá,dao da,arrive,2,Class
328,24,抵达,dǐdá,dida,arrive (formal),2,Class
329,24,表达,biǎodá,biaoda,deliver / express,2,Class
330,24,传达,chuándá,chuanda,convey,2,Class
331,24,发达,fādá,fada,developed (country),2,Class
332,24,四通八达,sìtōngbādá,sitongbada,very convenient transport,4,Class
333,25,嘴,zuǐ,zui,mouth,1,Class
334,25,嘴巴,zuǐbā,zuiba,mouth,2,Class
335,25,嘴角,zuǐjiǎo,zuijiao,corner of the mouth,2,Class
336,25,插嘴,chāzuǐ,chazui,cut in / interrupt someone,2,Class
337,25,有嘴无心,yǒu zuǐ wúxīn,you zui wuxin,do not say what you truly mean,4,Class
338,25,舌,shé,she,tongue,1,Class
339,25,舌头,shétou,shetou,tongue,2,Class
340,25,学社,xué shè,xue she,repeat others,2,Class
341,25,七嘴八舌,qī zuǐ bā shé,qi zui ba she,many people talking at once,4,Class
342,25,口舌,kǒushé,koushe,tongue,2,Class
343,26,蜗牛,wōniú,woniu,snail,2,Homework
344,26,树林,shùlín,shulin,forest,2,Homework
345,26,旁边,pángbiān,pangbian,side / beside,2,Homework
346,26,发芽,fāyá,faya,growing / sprouting,2,Homework
347,26,长满了,zhǎng mǎnle,zhang manle,full of something,3,Homework
348,26,叶子,yèzi,yezi,leaf,2,Homework
349,26,碧绿,bìlǜ,bilu,green,2,Homework
350,26,许多,xǔduō,xuduo,some / a few,2,Homework
351,26,草莓,cǎoméi,caomei,strawberry,2,Homework
352,26,地上,dìshàng,dishang,on the ground,2,Homework
353,26,已经,yǐjīng,yijing,already,2,Homework
354,26,摘,zhāi,zhai,to pick,1,Homework
355,26,好久,hǎojiǔ,haojiu,a long time,2,Homework
356,27,唇,chún,chun,lip,1,Class
357,27,嘴唇,zuǐchún,zuichun,lip,2,Class
358,27,唇膏,chúngāo,chungao,chap stick,2,Class
359,27,反唇相讥,fǎnchúnxiāngjī,fanchunxiangji,back talk / sarcasm,4,Class
360,27,牙,yá,ya,tooth / teeth (single char),1,Class
361,27,牙齿,yáchǐ,yachi,tooth / teeth (word),2,Class
362,27,牙膏,yágāo,yagao,tooth paste,2,Class
363,27,假牙,jiǎyá,jiaya,artificial teeth,2,Class
364,27,牙疼,yá téng,ya teng,toothache,2,Class
365,27,牙医,yáyī,yayi,dentist,2,Class
366,27,伶牙俐齿,língyálìchǐ,lingyalichi,gift of the gab,4,Class
367,27,端午节,duānwǔ jié,duanwu jie,Dragonboat festival,3,Homework
368,27,外婆,wàipó,waipo,grandmother,2,Homework
369,27,粽子,zòngzi,zongzi,sticky dumplings,2,Homework
370,27,盼着,pànzhe,panzhe,look forward to,2,Homework
371,27,糯米,nuòmǐ,nuomi,sticky rice,2,Homework
372,27,中间,zhōngjiān,zhongjian,middle / center,2,Homework
373,27,枣,zǎo,zao,jujube date,1,Homework
374,27,飘出,piāo chū,piao chu,float out,2,Homework
375,27,剥开,bō kāi,bo kai,peel off,2,Homework
376,27,一口,yīkǒu,yikou,a bite,2,Homework
377,27,黏,nián,nian,sticky,1,Homework
378,27,甜,tián,tian,sweet,1,Homework
379,27,鲜肉,xiān ròu,xian rou,fresh meat,2,Homework
380,27,装,zhuāng,zhuang,pack,1,Homework
381,27,邻居,línjū,linju,neighbor,2,Homework
382,27,为了,wèile,weile,for,2,Homework
383,27,诗人,shīrén,shiren,poet,2,Homework
384,27,纪念,jìniàn,jinian,commemorate,2,Homework
385,28,喉咙,hóulóng,houlong,throat,2,Class
386,28,咽喉,yānhóu,yanhou,throat,2,Class
387,28,嗓子,sǎngzi,sangzi,throat / voice,2,Class
388,28,咽喉炎,yānhóu yán,yanhou yan,sore throat,3,Class
389,28,嗓音,sǎngyīn,sangyin,singing voice,2,Class
390,28,狐狸,húlí,huli,fox,2,Homework
391,28,乌鸦,wūyā,wuya,crow,2,Homework
392,28,正站,zhèng zhàn,zheng zhan,standing,2,Homework
393,28,树枝,shùzhī,shuzhi,tree branch,2,Homework
394,28,一片,yīpiàn,yipian,a slice / a piece,2,Homework
395,28,摇摇,yáo yáo,yao yao,shake / wag,2,Homework
396,28,尾巴,wěibā,weiba,tail,2,Homework
397,28,羽毛,yǔmáo,yumao,feather,2,Homework
398,28,漂亮,piàoliang,piaoliang,pretty,2,Homework
399,28,麻雀,máquè,maque,sparrow,2,Homework
400,28,几句,jǐ jù,ji ju,a few words,2,Homework
401,28,一溜烟跑掉了,yīliūyān pǎo diàole,yiliuyan pao diaole,ran away in a flash,6,Homework
402,28,叼起,diāo qǐ,diao qi,pick up,2,Homework
403,29,伸,shēn,shen,stretched,1,Class
404,29,低,dī,di,low,1,Class
405,29,翅膀,chìbǎng,chibang,wings,2,Class
406,29,小水珠,xiǎo shuǐ zhū,xiao shui zhu,small drops of water,3,Class
407,29,消息,xiāoxī,xiaoxi,information / news,2,Class
408,29,闷,mèn,men,stuffy,1,Class
409,29,淋着,línzhe,linzhe,dripping,2,Class
410,29,腔,qiāng,qiang,inside of the mouth,1,Class
411,29,口腔溃疡,kǒuqiāng kuìyáng,kouqiang kuiyang,mouth ulcers,4,Class
412,29,腔调,qiāngdiào,qiangdiao,accent,2,Class
413,29,装腔作势,zhuāngqiāngzuòshì,zhuangqiangzuoshi,put on an act,4,Class
414,29,弯着腰,wānzhe yāo,wanzhe yao,bend over,3,Homework
415,29,直起身子,zhíqǐ shēnzi,zhiqi shenzi,straighten up,4,Homework
416,29,伸腰,shēnyāo,shenyao,stretch your waist,2,Homework
417,29,空气,kōngqì,kongqi,air,2,Homework
418,29,潮湿,cháoshī,chaoshi,moist,2,Homework
419,29,虫子,chóngzi,chongzi,insect,2,Homework
420,29,池子,chízi,chizi,pond,2,Homework
421,29,透透气,tòu tòuqì,tou touqi,get some air,3,Homework
422,29,连忙,liánmáng,lianmang,quickly / in a hurry,2,Homework
423,29,挎起,kuà qǐ,kua qi,pick up,2,Homework
424,29,蚂蚁,mǎyǐ,mayi,ant,2,Homework
425,29,告诉,gàosù,gaosu,tell,2,Homework
426,29,一阵雷声,yīzhèn léi shēng,yizhen lei sheng,a burst of thunder,4,Homework
427,30,吃,chī,chi,to eat (single char),1,Class
428,30,吃醋,chīcù,chicu,to be bitter / jealous,2,Class
429,30,吃苦,chīkǔ,chiku,to suffer / have a rough time,2,Class
430,30,大吃一惊,dàchīyījīng,dachiyijing,to feel shocked,4,Class
431,30,喝,hē,he,to drink,1,Class
432,30,喝茶,hē chá,he cha,drink tea,2,Class
433,30,喝咖啡,hē kāfēi,he kafei,drink coffee,3,Class
434,30,喝酒,hējiǔ,hejiu,drink alcohol,2,Class
435,30,吃喝玩乐,chīhē wánlè,chihe wanle,eat / drink / be merry,4,Class
436,30,喝彩,hècǎi,hecai,cheer for someone,2,Class
437,30,大声喝道,dàshēng hèdào,dasheng hedao,shout loudly,4,class
438,30,吆五喝六,yāowǔhèliù,yaowuheliu,shout orders,4,class
439,30,戴,dài,dai,to wear (an accessory),1,Homework
440,30,早晨,zǎochén,zaochen,morning,2,Homework
441,30,不久,bùjiǔ,bujiu,soon,2,Homework
442,30,静悄悄的,jìng qiāoqiāo de,jing qiaoqiao de,quietly,4,Homework
443,30,惊醒,jīngxǐng,jingxing,wake up with a start,2,Homework
444,30,睁开,zhēng kāi,zheng kai,open,2,Homework
445,30,不小心,bù xiǎoxīn,bu xiaoxin,careless,3,Homework
446,30,让,ràng,rang,let,1,Homework
447,30,感激,gǎnjī,ganji,gratitude,2,Homework
448,30,连声,liánshēng,liansheng,continuously,2,Homework
449,30,蜻蜓,qīngtíng,qingting,dragonfly,2,Homework
450,30,照亮,zhào liàng,zhao liang,illuminate,2,Homework
451,30,灯笼,dēnglóng,denglong,lantern,2,Homework
452,30,草坪,cǎopíng,caoping,lawn,2,Homework
453,31,唱,chàng,chang,to sing,1,Class
454,31,唱歌,chànggē,changge,to sing,2,Class
455,31,歌唱家,gēchàng jiā,gechang jia,professional singer,3,Class
456,31,演唱会,yǎnchàng huì,yanchang hui,concert,3,Class
457,31,一唱一和,yīchàngyīhè,yichangyihe,echo each other,4,Class
458,31,喊,hǎn,han,to shout,1,Class
459,31,呼喊,hūhǎn,huhan,to shout,2,Class
460,31,喊叫,hǎnjiào,hanjiao,yelling loudly,2,Class
461,31,贼喊捉贼,zéihǎnzhuōzéi,zeihanzhuozei,"a thief shouting: ""stop thief""",4,Class
462,31,铅笔,qiānbǐ,qianbi,pencil,2,Homework
463,31,一次,yīcì,yici,once,2,Homework
464,31,橡皮,xiàngpí,xiangpi,eraser,2,Homework
465,31,擦,cā,ca,wipe,1,Homework
466,31,丢,diū,diu,leave,1,Homework
467,31,平安,píngān,pingan,safety,2,Homework
468,31,转笔刀,zhuǎn bǐ dāo,zhuan bi dao,pencil sharpener,3,Homework
469,31,文具,wénjù,wenju,stationery,2,Homework
470,31,从此,cóngcǐ,congci,from then on,2,Homework
